lat,lon,wait
-54.85520212445764,-68.57674567935346,8.0
-54.78830810234992,-68.22517275810083,13.0
-54.72130808126238,-68.12964534759526,10.0
-53.8537507524188,-67.75762174185336,60.0
-53.80897581249733,-67.77897334099016,20.0
-53.735141173975386,-67.77864074706936,870.0
-53.35176466619968,-69.25741767883252,165.0
-53.31973239880964,-68.6033020019529,25.0
-53.1139239506351,-70.8798537254341,70.0
-52.4543356751218,-69.5571899414062,15.0
-52.398622609654446,-69.7572448754056,35.0
-51.720308,-72.505944,75.0
-51.719086378264,-72.50632053215,63.0
-51.71363185127778,-72.48125052452176,60.0
-51.6906322888158,-57.77666187286429,5.0
-51.62566049622063,-69.25119250056626,240.0
-51.604656,-72.333078,30.0
-51.544369,-72.235619,60.0
-51.25886134791749,-72.34722528137468,30.0
-50.3402022078418,-72.28935128051835,68.0
-50.33178988993481,-72.22732137559375,148.0
-50.3097839946919,-71.85388121284734,972.0
-49.304093722358,-67.785078048689,10.0
-48.76461544317416,-70.3037688732152,20.0
-48.76187852190034,-70.30763125419715,2880.0
-48.462019261889,-72.560598134918,4200.0
-46.583070432450185,-70.92784380912902,20.0
-46.48433932927667,-67.50479793548612,60.0
-46.43595086759945,168.37183320516587,30.0
-46.229026401413,169.76178073882,10.0
-46.11250938518917,169.96803992984192,20.0
-45.91249550769255,169.68404763934436,30.0
-45.90830201528206,-67.58185958862398,43.0
-45.88960182636091,170.4981704949988,10.0
-45.851093259093,170.50853723288,13.0
-45.79347908656256,-67.4927440881704,15.0
-45.78135171152778,167.6690219141838,60.0
-45.62591018079982,167.7014204263203,60.0
-45.48590789947004,170.71373426911723,20.0
-45.47810628916664,169.31219422814223,45.0
-45.41430735561996,167.71799647802615,5.0
-45.39787767227924,-72.49173110909636,105.0
-45.35187542377078,170.82349026199532,30.0
-45.26027607159918,169.38917362686323,20.0
-45.1025184364658,170.95363104341445,30.0
-45.04113216194788,169.22294104093683,20.0
-45.032970650053464,169.19331872457553,23.0
-45.01527678642673,168.73317051832603,10.0
-44.98073293451259,168.85496342176344,15.0
-44.84171867022429,169.40100753301743,20.0
-44.836819321114184,169.41137158865533,30.0
-44.734229267069274,170.47081196305868,60.0
-44.7007060155978,169.129693508148,28.0
-44.700314902246326,169.1055300235518,60.0
-44.69907756897874,169.12697160240134,10.0
-44.696713407228096,169.17235994337108,38.0
-44.696225310206245,169.17133533951056,15.0
-44.692457672841414,169.14619767661392,5.0
-44.654203046349345,169.21881043906478,15.0
-44.4884403466694,169.9684664010615,45.0
-44.260681004208585,170.10509008164738,30.0
-44.1880599130211,170.12421959635427,45.0
-44.18757139438799,170.12385481593068,30.0
-44.077762278147524,171.25905418394848,5.0
-44.06659056561344,171.36759513610863,20.0
-44.003034226667545,170.47235959765345,15.0
-43.89853232142587,171.75568664069735,20.0
-43.777091649532544,173.01303112503757,120.0
-43.66140820992858,172.5479789972,5.0
-43.653366667475986,172.7042015790632,10.0
