
{Z-NL  +02 D   +02 DK  +02 S   +02
  1,   33,    8,    92.0,   1.00,   92.0, S,   -,    S,        ,  , 10.16, 11.27, 1980-06-30,    582.0, tR, Stockholm Hallunda                              , Eskilstuna
{I I
  1,   33,  ! 1,        ,       ,       ,  ,    ,     ,        , !, 10.48, 10.59,

  1,   34,    8,    57.0,   1.10,   48.9, S,   B,    S,    5.01,  , 16.28, 17.51,           ,  37359.0, t-, Eskilstuna                                      , Ervalla
  1,   34,  ! 1,        ,       ,       ,  ,    ,     ,        , !, 17.14, 17.27,

  1,   35,    8,    17.0,   0.24,   42.5, S,   V,    S,    0.15,  , 18.06, 18.30,           ,  59204.0, t-, Ervalla                                         , Örebro
  1,   36,    8,     4.0,   0.06,   40.0, S,   P,    S,    0.44,  , 19.14, 19.20,           ,    754.0, a-, Örebro                                         , Örebro

  1,   37,    9,    14.0,   0.08,  105.0, S,   -,    S,        ,  , 11.28, 11.36, 1980-07-02,    351.0, t-, Örebro                                         , Lannabruck
  1,   38,    9,    26.0,   0.20,   78.0, S,   -,    S,    0.26,  , 12.02, 12.22,           ,     33.0, t-, Lannabruck                                      , Karlskoga
  1,   39,    9,    22.0,   0.13,  101.5, S,   V,    S,    1.55,  , 14.17, 14.30,           ,     63.0, t-, Karlskoga                                       , Kristinehamn
  1,   40,    9,    37.0,   0.20,  111.0, S,   -,    S,    0.30,  , 15.00, 15.20,           ,    262.0, t-, Kristinehamn                                    , Karlstad

  1,   41,   10,    24.0,   0.18,   80.0, S,   -,    S,        ,  , 15.00, 15.18, 1980-07-03,    199.0, t-, Karlstad                                        , Grums
  1,   42,   10,    53.0,   0.36,   88.3, S,   -,    S,    0.16,  , 15.34, 16.10,           ,  82303.0, t-, Grums                                           , Åmål

  1,   43,   11,    90.0,   0.55,   98.2, S,   -,    S,        ,  ,  7.24,  8.34, 1980-07-04,     84.0, t-, Åmål                                          , Vänersborg
  1,   43,  ! 1,        ,       ,       ,  ,   !M,    ,        , !,  7.50,  8.05,

  1,   44,   11,    86.0,   1.12,   71.7, S,   E,    S,    0.06,  ,  8.40,  9.52,           ,  55251.0, t-, Vänersborg                                     , Göteborg

  1,   45,   12,    34.0,   0.16,  127.5, S,   -,    S,        ,  ,  7.25,  7.41, 1980-07-06,  92359.0, t-, Göteborg                                       , Fjärås
  1,   46,   12,    25.0,   0.20,   75.0, S,   V,    S,    5.09,  , 12.50, 13.10,           ,    752.0, t-, Frillesås                                      , Varberg
{I W

  1,   47,    #,   924.0,   9.30,   97.3, N,   -,    *,        ,  , 13.41,      ,           ,    685.0, a-, Varberg                                         , De Bilt
  1,   47,   12,   687.0,   6.30,       , N,   -,     ,        , #,      ,      ,
  1,   47,   13,   237.0,   3.00,       , N,   -,     ,        , #,      ,  3.15, 1980-07-07
  1,   47,  12a,   157.0,   1.40,       , N,   -,    S,    0.31, *,      ,      ,
  1,   47,  12b,   202.0,   2.00,       , N,   -,    DK,       , *,      ,      ,
  1,   47,  12c,   413.0,   4.02,       , N,   -,    D,        , *,      ,      ,
  1,   47,  13d,   152.0,   1.48,       , N,   -,    NL,       , *,      ,      ,
  1,   47,  ! 1,        ,       ,       ,  ,   !B,   S,        , !, 15:21, 17.00,
  1,   47,  ! 2,        ,       ,       ,  ,   !B,   DK,       , !, 19:00, 21.00,
  1,   47,  ! 3,        ,       ,       ,  ,    ,     ,        , !, 21.10, 21.15,
  1,   47,  ! 4,        ,       ,       ,  ,    ,     ,        , !, 23.55,  0.05,
