,trip,ride,short,long
542,163,14,https://goo.gl/maps/Cc7tVNYjYkL2,"https://www.google.com/maps/dir/52.3026771,13.0135554/54.3567426,23.181398/@53.2228634,16.3550345,7z/data=!4m2!4m1!3e0?hl=en&shorturl=1"
543,163,15,https://goo.gl/maps/nHTgE9Ha5mP2,"https://www.google.com/maps/dir/54.3567426,23.181398/54.9367623,23.89831/@54.6486876,23.3481238,10z/data=!4m2!4m1!3e0?hl=en&shorturl=1"
544,163,16,https://goo.gl/maps/4zexzDaXvc22,"https://www.google.com/maps/dir/54.9363623,23.8985331/54.6705881,25.2262189/@54.6907003,24.2023068,9.67z/data=!4m2!4m1!3e0?hl=en&shorturl=1"
546,164,2,https://goo.gl/maps/GTi9aXYsVy52,"https://www.google.com/maps/dir/54.9354779,23.8704878/52.3080169,21.0822141/@54.1294923,20.6890856,7z/data=!4m14!4m13!1m10!3m4!1m2!1d22.8158809!2d53.9456829!3s0x46e1ab16932329fb:0x42466d0642b6bc4b!3m4!1m2!1d22.9612426!2d53.8416806!3s0x46e051a8cbaa3095:0xb9fe744c6b8bc15b!1m0!3e0?shorturl=1"
547,164,3,https://goo.gl/maps/FnJspRm4x9M2,"https://www.google.com/maps/dir/52.3080169,21.0822141/MOP+Chrz%C4%85st%C3%B3w,+Stary+Chrz%C4%85st%C3%B3w,+Poland/@52.0600312,19.6121807,9z/data=!4m9!4m8!1m0!1m5!1m1!1s0x471baf01c8013437:0x13b6ebfe63f32825!2m2!1d19.1797295!2d51.9447675!3e0?shorturl=1"
548,164,4,https://goo.gl/maps/Ecngv9TcZR42,"https://www.google.com/maps/dir/MOP+Chrz%C4%85st%C3%B3w,+Stary+Chrz%C4%85st%C3%B3w,+Poland/MOP+Tulce,+Tulce,+Poland/@52.0643594,17.5308769,9z/data=!4m14!4m13!1m5!1m1!1s0x471baf01c8013437:0x13b6ebfe63f32825!2m2!1d19.1797295!2d51.9447675!1m5!1m1!1s0x4704581823b43881:0x44787453d47644fd!2m2!1d17.0914004!2d52.3297303!3e0?shorturl=1"
552,164,8,https://goo.gl/maps/17LMPpNn74N2,"https://www.google.com/maps/dir/52.3879612,9.9989039/51.8665311,8.3718469/@52.1204192,8.7091876,9z?shorturl=1"
553,164,9,https://goo.gl/maps/ZDJM9copZ5R2,"https://www.google.com/maps/dir/51.8665311,8.3718469/51.6324679,7.8766928/@51.7538327,7.9628956,11z/data=!4m9!4m8!1m5!3m4!1m2!1d7.9952063!2d51.7494957!3s0x47b9780a9615a411:0x826093031703dd2b!1m0!3e0?shorturl=1"
555,164,11,https://goo.gl/maps/ZufCYnqUctB2,"https://www.google.com/maps/dir/51.1588154,7.2283985/Aachener+Land-Nord,+52249+Eschweiler,+Germany/@50.9913343,6.4820756,10z/data=!4m9!4m8!1m0!1m5!1m1!1s0x47c09fc652da6b55:0x9e2a4f642d77b0c2!2m2!1d6.2138656!2d50.8178899!3e0?shorturl=1"
556,164,12,https://goo.gl/maps/LpLknpUyhA82,"https://www.google.com/maps/dir/Aachener+Land-Nord,+52249+Eschweiler,+Germany/51.1871687,3.1072231/@50.6776138,3.8381811,8z/data=!4m19!4m18!1m15!1m1!1s0x47c09fc652da6b55:0x9e2a4f642d77b0c2!2m2!1d6.2138656!2d50.8178899!3m4!1m2!1d6.0899861!2d50.7813889!3s0x47c0996f700e71ff:0x4836cde2edeae8c1!3m4!1m2!1d4.7180104!2d50.8435127!3s0x47c166ae21991d83:0x9eb3d13483317461!1m0!3e0?shorturl=1"
